date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:45:15	78459/78459	---MCZ	200	added ('OK')	text/html	etag:W/%22abf6f503%22	https://www.bancopichincha.com.co/web/personas	./W2/www.bancopichincha.com.co/web/personas.html	(from )
16:45:16	43/43	---MCZ	200	added ('OK')	text/plain	date:Wed,%2026%20Jun%202024%2020:45:14%20GMT	https://www.bancopichincha.com.co/robots.txt		(from )
16:45:16	29705/29705	---MCZ	200	added ('OK')	text/html	etag:W/%223f730d7%22	https://www.bancopichincha.com.co/web/corporativo/area-clientes	./W2/www.bancopichincha.com.co/web/corporativo/area-clientes.html	(from https://www.bancopichincha.com.co/web/personas)
16:45:18	78584/78584	---MCZ	200	added ('OK')	text/html	etag:W/%22a2b80c3b%22	https://www.bancopichincha.com.co/web/personas/inicio	./W2/www.bancopichincha.com.co/web/personas/inicio.html	(from https://www.bancopichincha.com.co/web/personas)
16:45:19	69379/69379	---MCZ	200	added ('OK')	text/html	etag:W/%22548a1fd%22	https://www.bancopichincha.com.co/web/empresas/inicio	./W2/www.bancopichincha.com.co/web/empresas/inicio.html	(from https://www.bancopichincha.com.co/web/personas)
16:45:19	60734/60734	---MCZ	200	added ('OK')	text/html	etag:W/%2298d4e477%22	https://www.bancopichincha.com.co/web/personas/cdt	./W2/www.bancopichincha.com.co/web/personas/cdt.html	(from https://www.bancopichincha.com.co/web/personas)
16:45:20	69519/69519	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Jun%202024%2020:45:19%20GMT	https://www.bancopichincha.com.co/web/personas/paga-tu-tarjeta-de-credito	./W2/www.bancopichincha.com.co/web/personas/paga-tu-tarjeta-de-credito.html	(from https://www.bancopichincha.com.co/web/personas)
16:45:22	65749/65749	---MCZ	200	added ('OK')	text/html	etag:W/%227d44c3c8%22	https://www.bancopichincha.com.co/web/corporativo/preguntas-frecuentes-tarjetas-de-cr%c3%a9dito	./W2/www.bancopichincha.com.co/web/corporativo/preguntas-frecuentes-tarjetas-de-cr%c3%a9dito.html	(from https://www.bancopichincha.com.co/web/personas)
16:45:23	67288/67288	---MCZ	200	added ('OK')	text/html	etag:W/%227a91225b%22	https://www.bancopichincha.com.co/web/personas/credito-de-libranza	./W2/www.bancopichincha.com.co/web/personas/credito-de-libranza.html	(from https://www.bancopichincha.com.co/web/personas)
16:45:23	60280/60280	---MCZ	200	added ('OK')	text/html	etag:W/%221e99ff74%22	https://www.bancopichincha.com.co/web/personas/terminos-y-condiciones	./W2/www.bancopichincha.com.co/web/personas/terminos-y-condiciones.html	(from https://www.bancopichincha.com.co/web/personas)
16:45:25	79180/79180	---MCZ	200	added ('OK')	text/html	etag:W/%22eb9a56be%22	https://www.bancopichincha.com.co/web/personas/banca-virtual-aplicacion-movil	./W2/www.bancopichincha.com.co/web/personas/banca-virtual-aplicacion-movil.html	(from https://www.bancopichincha.com.co/web/personas)
16:45:25	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2026%20Jun%202024%2020:45:24%20GMT	https://www.bancopichincha.com.co/web/personas/pagos-pse	./W2/www.bancopichincha.com.co/web/personas/pagos-pse	(from https://www.bancopichincha.com.co/web/personas)
16:45:27	56373/56373	---MCZ	200	added ('OK')	text/html	etag:W/%22974c5c2f%22	https://www.bancopichincha.com.co/web/personas/pse-pichincha	./W2/www.bancopichincha.com.co/web/personas/pse-pichincha.html	(from https://www.bancopichincha.com.co/web/personas)
16:45:34	51034/51034	---MCZ	200	added ('OK')	text/html	etag:W/%22e8aa7289%22	https://www.bancopichincha.com.co/web/corporativo/hazte-cliente-banco-pichincha	./W2/www.bancopichincha.com.co/web/corporativo/hazte-cliente-banco-pichincha.html	(from https://www.bancopichincha.com.co/web/personas)
16:45:34	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2026%20Jun%202024%2020:45:33%20GMT	https://www.bancopichincha.com.co/web/corporativo/contactanos1	./W2/www.bancopichincha.com.co/web/corporativo/contactanos1	(from https://www.bancopichincha.com.co/web/personas)
16:45:35	75055/75055	---MCZ	200	added ('OK')	text/html	date:Wed,%2026%20Jun%202024%2020:45:33%20GMT	https://www.bancopichincha.com.co/web/corporativo/contactanos	./W2/www.bancopichincha.com.co/web/corporativo/contactanos.html	(from https://www.bancopichincha.com.co/web/personas)
